Stock Code,Name of Securities
00107,SICHUAN EXPRESS
00108,GR LIFE STYLE
00110,CHINA FORTUNE
00111,CINDA INTL HLDG
00113,DICKSON CONCEPT
00114,HERALD HOLD
00115,GRAND FIELD GP
00116,CHOW SANG SANG
00117,TIANLI HOLDINGS
00118,COSMOS MACH
00119,POLY PROPERTY
00120,COSMOPOL INT'L
00122,CROCODILE
00123,YUEXIU PROPERTY
00124,GD LAND
00125,SUN HING VISION
00126,CARRIANNA
00127,CHINESE EST H
00128,ENM HOLDINGS
00129,ASIA STANDARD
00130,MOISELLE INT'L
00131,CHEUK NANG HOLD
00132,HING YIP HLDGS
00133,CHINA MERCHANTS
00135,KUNLUN ENERGY
00136,CHINA RUYI
00137,JINHUI HOLDINGS
00138,CCT FORTIS
00139,SMART FISH
00142,FIRST PACIFIC
00144,CHINA MER PORT
00145,CCIAM FUTURE EN
00146,TAI PING CARPET
00147,IB SETTLEMENT
00148,KINGBOARD HLDG
00149,CH AGRI-PROD EX
00150,HYPEBEAST
00151,WANT WANT CHINA
00152,SHENZHEN INT'L
00154,BE ENVIRONMENT
00156,LIPPO CHINA RES
00157,NATURAL BEAUTY
00158,MELBOURNE ENT
00159,BROCKMAN MINING
00160,HON KWOK LAND
00162,CENTURY GINWA
00163,EMPEROR INT'L
00164,CHINA BAOLI TEC
00165,CHINA EB LTD
00166,NEW TIMES CORP
00167,IDT INT'L
00168,TSINGTAO BREW
00169,WANDA HOTEL DEV
00171,SILVER GRANT
00173,K. WAH INT'L
00174,GEMINI INV
00175,GEELY AUTO
00176,SUPERACTIVE GP
00177,JIANGSU EXPRESS
00178,SA SA INT'L
00179,JOHNSON ELEC H
00180,KADER HOLDINGS
00181,FUJIAN HOLDINGS
00182,CONCORD NE
00183,WINFULL GP
00184,KECK SENG INV
00185,ZENSUN ENT
00186,NIMBLE HOLDINGS
00187,JINGCHENG MAC
00188,SUNWAH KINGSWAY
00189,DONGYUE GROUP
00191,LAI SUN INT'L
00193,CAPITAL ESTATE
00194,LIU CHONG HING
00195,GREENTECH INTL
00196,HONGHUA GROUP
00197,HENG TAI
00199,ITC PROPERTIES
00200,MELCO INT'L DEV
00201,MAGNIFICENT
00202,EVERCHINA INT'L
00204,CAPITAL REALM
00205,SEEC MEDIA
00206,CM-ENERGY
00207,JOY CITY PPT
00209,WINSHINE SCI
00210,DAPHNE INT'L
00211,STYLAND HOLD
00212,NANYANG HOLD
00213,NATIONAL ELEC H
00214,ASIA ORIENT
00215,HUTCHTEL HK
00216,CHINNEY INV
00217,CHINA CHENGTONG
00218,SWHYHK
00219,SHUNHO PROPERTY
00220,U-PRESID CHINA
00222,MIN XIN HOLD
00223,ELIFE HLDGS
00224,PIONEER GLOBAL
00225,POKFULAM
00226,LIPPO
00227,FIRST SHANGHAI
00228,CHINA ENERGY
00229,RAYMOND IND
00230,MINMETALS LAND
00232,CON AERO TECH
00234,NEW CENTURY GP
00235,CSC HOLDINGS
00236,SAN MIGUEL HK
00237,SAFETY GODOWN
00239,PAK FAH YEOW
00240,BUILD KING HOLD
00241,ALI HEALTH
00242,SHUN TAK HOLD
00243,QPL INT'L
00244,SINCERE
00245,CHINA VERED FIN
00247,TST PROPERTIES
00248,HKC INT'L HOLD
00251,SEA HOLDINGS
00252,SE ASIA PPT
00253,SHUNHO HOLDINGS
00254,NUR HOLD-NEW
00255,LUNG KEE
00256,CITYCHAMP
00257,EB ENVIRONMENT
00258,TOMSON GROUP
00259,YEEBO (INT'L H)
00261,GBA HOLDINGS
00262,DESON DEV INT'L
00264,CN INT DEV CORP
00265,GANGYU SERVICES
00266,TIAN TECK LAND
00267,CITIC
00268,KINGDEE INT'L
00269,CRTG
00270,GUANGDONG INV
00271,ASIASEC PPT
00272,SHUI ON LAND
00274,RA SILK ROAD
00276,MONGOLIA ENERGY
00277,TERN PROPERTIES
00279,ARTA TECHFIN
00280,KING FOOK HOLD
00285,BYD ELECTRONIC
00286,AIDIGONG
00287,WINFAIR INV
00288,WH GROUP
00289,WING ON CO
00290,GOFINTECH QUANT
00291,CHINA RES BEER
00293,CATHAY PAC AIR
00294,YANGTZEKIANG
00295,KONG SUN HOLD
00296,EMPEROR E HOTEL
00297,SINOFERT
00298,CHUANG'S CHINA
00299,GLORY SUN LAND
00300,MIDEA GROUP
00301,SANVO CHEMICALS
00302,CMGE
00303,VTECH HOLDINGS
00305,WULING MOTORS
00306,KWOON CHUNG BUS
00308,CHINA TRAVEL HK
00309,XH NEWS MEDIA
00310,PROSP INV HOLD
00311,LUEN THAI
00312,SHIRBLE STORE
00313,RICHLY FIELD
00314,SIPAI HEALTH
00315,SMARTONE TELE
00316,OOIL
00317,COMEC
00318,VONGROUP
00320,COMPUTIME
00321,TEXWINCA HOLD
00322,TINGYI
00323,MAANSHAN IRON
00325,BLOKS
00326,CHINA STAR ENT
00327,PAX GLOBAL
00328,ALCO HOLDINGS
00329,OCI INTL
00330,ESPRIT HOLDINGS
00331,FSE LIFESTYLE
00332,YUANHENG GAS
00333,TOP FORM INT'L
00334,CH DISPLAY OPT
00335,UPBEST GROUP
00336,HUABAO INTL
00337,GREENLAND HK
00338,SHANGHAI PECHEM
00339,CN SCI-TECH IND
00340,TONGGUAN GOLD
00341,CAFE DE CORAL H
00343,CULTURECOM HOLD
00345,VITASOY INT'L
00346,YANCHANG PETRO
00347,ANGANG STEEL
00348,CHINAHEALTHWISE
00351,ASIA ENERGY LOG
00352,FORTUNE SUN
00353,ENERGY INTINV
00354,CHINASOFT INT'L
00355,CENTURY C INT'L
00356,DT CAPITAL
00357,MEILAN AIRPORT
00358,JIANGXI COPPER
00360,NEW FOCUS AUTO
00361,SINO GOLF HOLD
00362,C ZENITH CHEM
00363,SHANGHAI IND H
00365,SINO ICT
00366,LUKS GROUP (VN)
00367,CHUANG'S INT'L
00368,SUPERLAND GROUP
00369,WING TAI PPT
00370,HK ROBOTICS
00371,BJ ENT WATER
00372,PT INTL DEV
00373,ALLIED GROUP
00374,FOUR SEAS MER
00375,YGM TRADING
00376,YUNFENG FIN
00377,CHINA HUAJUN GP
00379,EG LEASING
00380,CHINA PIPE
00381,AOM INT'L
00382,EDVANTAGE GROUP
00383,TIANAN MEDICARE
00384,CHINA GAS HOLD
00385,CHINNEY ALLI
00386,SINOPEC CORP
00387,LEEPORT(HOLD)
00388,HKEX
00389,TONTINE WINES
00390,CHINA RAILWAY
00391,MEI AH ENTER
00392,BEIJING ENT
00393,GLORIOUS SUN
00396,HING LEE (HK)
00397,MINERVA GROUP
00398,ORIENTAL WATCH
00399,INNOVATIVE PHAR
00400,INGDAN
00401,WANJIA GROUP
00403,STARLITE HOLD
00405,YUEXIU REIT
00406,YAU LEE HOLD
00408,YIP'S CHEMICAL
00410,SOHO CHINA
00411,LAM SOON (HK)
00412,SDHG
00413,SC HOLDINGS
00417,TSE SUI LUEN
00418,FOUNDER HOLD
00419,HONY MEDIA
00420,FOUNTAIN SET
00422,VMEP HOLDINGS
00423,HKET HOLDINGS
00425,MINTH GROUP
00426,ONE MEDIA GROUP
00428,COCOON HOLDINGS
00430,ORIENTAL EXPL
00431,G CHINA FIN
00432,PCPD
00433,NORTH MINING
00434,BOYAA
00435,SUNLIGHT REIT
00436,NU ENVIRO
00438,IRICO NEWENERGY
00439,KUANGCHI
00440,DAH SING
00442,DOMAINE POWER
00444,SINCEREWATCH HK
00450,HUNG HING PRINT
00451,GCL NEWENERGY
00455,TIANDA PHARMA
00456,NEW CITY DEV
00458,TRISTATE HOLD
00459,LEGEND UPSTAR
00460,SIHUAN PHARM
00464,CHINA IN-TECH
00465,FUTONG TECH
00467,UNITEDENERGY GP
00468,GAPACK
00471,SILKWAVE INC
00472,NEW SILKROAD
00474,ACESO LIFE SCI
00475,CENTRAL DEV H
00476,EV DYNAMICS
00480,HKR INT'L
00482,SANDMARTIN INTL
00483,BAUHAUS INT'L
00484,FORGAME
00485,CHINASINOSTAR
00486,RUSAL
00487,SUCCESSUNIVERSE
00488,LAI SUN DEV
00489,DONGFENG GROUP
00491,EMPEROR CULTURE
00493,GOME RETAIL
00495,PALADIN
00496,KASEN
00497,CSI PROPERTIES
00498,BLUE RIVER HLDG
00499,QINGDAO HLDGS
00500,FRONTIER SER
00505,XINGYE ALLOY
00506,CHINA FOODS
00508,DINGYI GP INV
00509,SUNSHINE
00510,CASH FIN SER GP
00511,TVB
00512,GRAND PHARMA
00513,CONTINENTAL H
00515,CHINASILVER TEC
00517,COSCO SHIP INTL
00518,TUNGTEX (HOLD)
00519,NOVAUTEK
00520,XIABUXIABU
00521,CWT INT'L
00522,ASMPT
00524,GW TERROIR
00525,GUANGSHEN RAIL
00526,LISI GP HOLD
00527,RUIFENG RENEW
00528,KINGDOM HOLDING
00529,SIS INT'L
00532,WKK INTL (HOLD)
00533,GOLDLION HOLD
00535,GEMDALE PPT
00536,TRADELINK
00538,AJISEN (CHINA)
00540,SPEEDY GLOBAL
00542,CN CULTURAL T&A
00543,PACIFIC ONLINE
00544,DAIDO GROUP
00546,FUFENG GROUP
00547,DIGITAL DOMAIN
00548,SHENZHENEXPRESS
00550,ALLEGRO CULTURE
00551,YUE YUEN IND
00552,CHINACOMSERVICE
00553,NANJING PANDA
00554,HANS GP HLDGS
00556,PAN ASIA ENVIRO
00557,TIANYUAN HEALTH
00558,LK TECH
00559,DETAI NEWENERGY
00560,CHU KONG SHIP
00563,SH IND URBAN
00564,ZMJ
00565,ART GROUP HOLD
00567,DAISHOMICROLINE
00568,SHANDONG MOLONG
00570,TRAD CHI MED
00571,ESUN HOLDINGS
00572,FW HOLDINGS
00573,TAO HEUNG HLDGS
00574,PASHUN INT'L
00575,REGENT PACIFIC
00576,ZHEJIANGEXPRESS
00579,JNCEC
00580,SUN.KING TECH
00581,CHINA ORIENTAL
00582,SHIN HWA WORLD
00583,GWPA HOLDINGS
00585,IMAGI INT'L
00586,CONCH VENTURE
00587,CONCH ENVIRO
00588,BEIJING N STAR
00589,JIANZHONG CONS
00590,LUK FOOK HOLD
00591,C HIGHPRECISION
00593,DREAMEAST
00595,AV CONCEPT HOLD
00596,INSPUR DIGI ENT
00598,SINOTRANS
00599,E. BON HOLDINGS
00601,REMT
00602,JIAHUA STORES H
00603,CHINA OIL & GAS
00604,SHENZHEN INVEST
00605,C FIN SERVICES
00606,SCE CM
00607,FULLSHARE
00608,HIGH FASHION
00609,TIANDE CHEMICAL
00610,WAI KEE HOLD
00611,CNE TECH CORP
00612,CARMEN CENTURY
00613,PLANETREE INT'L
00616,EMINENCE ENT
00617,PALIBURG HOLD
00618,PKU RESOURCES
00619,SOUTH CHINA FIN
00620,DTXS SILK ROAD
00621,TAUNG GOLD-NEW
00622,OSHIDORI
00623,SINOMEDIA
00626,PUBLIC FIN HOLD
00627,JAPAN KYOSEI
00628,TONGTONG AI SOC
00629,YUE DA INTL
00630,AMCO UNITED
00631,SANY INT'L
00632,CHK OIL
00635,PLAYMATES
00636,KLN
00637,LEE KEE
00639,SHOUGANG RES
00640,INFINITY DEV
00641,CHTC FONG'S INT
00643,CARRY WEALTH
00645,ARES ASIA
00646,CHINA ENV TEC
00648,SOFTMEDX-NEW
00650,PRODUCTIVE TECH
00653,BONJOUR HOLD
00655,HK CHINESE LTD
00656,FOSUN INTL
00657,G-VISION INT'L
00658,C TRANSMISSION
00659,CTF SERVICES
00660,WAI CHUN BIOTEC
00661,CDAYENONFER
00662,ASIA FINANCIAL
00663,KING STONE ENGY
00666,REPT BATTERO
00667,CHINA EAST EDU
00669,TECHTRONIC IND
00670,CHINA EAST AIR
00672,ZHONGAN GROUP
00673,CHINA HEALTH
00674,CHINA TANGSHANG
00675,K & P INT'L
00676,PEGASUS INT'L
00677,GOLDEN RES DEV
00679,ASIA TELE-NET
00681,CHI PEOPLE HOLD
00682,CHAODA MODERN
00683,KERRY PPT
00684,ALLAN INT'L
00685,MEDIA CHINESE
00686,BJ ENERGY INTL
00687,TYSAN HOLDINGS
00688,CHINA OVERSEAS
00689,EPI (HOLDINGS)
00690,UNI-BIO GROUP
00691,SHANSHUI CEMENT
00693,TAN CHONG INT'L
00694,BEIJING AIRPORT
00695,DONGWU CEMENT
00696,TRAVELSKY TECH
00697,SHOUCHENG
00698,TONGDA GROUP
00700,TENCENT
00701,CNT GROUP
00702,SINO OIL & GAS
00703,FUTURE BRIGHT
00704,HUSCOKE HLDGS
00707,ATV HOLDINGS
00708,EVERG VEHICLE
00709,GIORDANO INT'L
00710,BOE VARITRONIX
00711,ASIA ALLIED INF
00712,COMTEC SOLAR
00713,WORLD HOUSEWARE
00716,SINGAMAS CONT
00717,EMPEROR CAPITAL
00718,TAI UNITED HOLD
00719,SHANDONG XINHUA
00720,AUTO ITALIA
00721,C FIN INT INV
00722,UMP
00723,RELIANCE GLO HL
00724,RUIXIN INT'L
00725,PERENNIAL INT'L
00726,DIT GROUP
00727,CROWNICORP
00728,CHINA TELECOM
00730,CAPITAL IND FIN
00731,C&D NEWIN
00732,TRULY INT'L
00733,HOPEFLUENT
00736,CHINA PPT INV
00737,BAY AREA DEV
00738,LE SAUNDA
00743,ASIA CEMENT CH
00745,CN CULTURE GP
00746,L & M CHEMICAL
00747,SHENYANG PUBLIC
00750,SFSY ENERGY
00751,SKYWORTH GROUP
00752,PICO FAR EAST
00753,AIR CHINA
00754,HOPSON DEV HOLD
00755,DEVGREAT
00756,SUMMI
00757,SOLARGIGA
00759,CEC INT'L HOLD
00760,TALENT PPT GP
00762,CHINA UNICOM
00763,ZTE
00764,ETERNITY INV
00765,PERFECTECH INTL
00767,ZHONG JI LS
00768,UBA INVESTMENTS
00769,CHINA RAREEARTH
00770,SHANGHAI GROWTH
00771,AUTOMATED SYS
00772,CHINA LIT
00775,CKLIFE SCIENCES
00776,IMPERIUM TEC GP
00777,NETDRAGON
00778,FORTUNE REIT
00780,TONGCHENGTRAVEL
00784,LING YUI
00788,CHINA TOWER
00789,ARTINI HLDG
00794,COME SURE GROUP
00797,7ROAD
00798,CEOVU
00799,IGG
00802,CHINA E-WALLET
00804,PINESTONE-NEW
00805,NEW GONOW RV
00806,VALUE PARTNERS
00807,SIICENVIRONMENT
00808,PROSPERITY REIT
00809,GLOBAL BIO-CHEM
00810,CH CASTSON 81
00811,XINHUA WINSHARE
00812,SWSI
00813,SHIMAO GROUP
00814,JINGKELONG
00815,CHI SILVER GP
00816,JINMAO SERVICES
00817,CHINA JINMAO
00818,HI SUN TECH
00819,TIANNENG POWER
00821,VC HOLDINGS
00822,KA SHUI INT'L
00823,LINK REIT
00825,NWDS CHINA
00826,TIANGONG INT'L
00827,KO YO GROUP
00828,DYNASTY WINES
00829,SHENGUAN HLDGS
00830,CSC DEVELOPMENT
00831,CR ASIA
00832,CENTRAL CHINA
00833,ALLTRONICS
00834,KANGDA FOOD
00836,CHINA RES POWER
00837,CARPENTER TAN
00838,EVA HOLDINGS
00839,CHINA EDU GROUP
00840,TIANYE WATER
00841,CASSAVA RES
00842,LEOCH INT'L
00844,GREATIME INTL
00845,GLORIOUS PPT H
00846,MINGFA GROUP
00848,MAOYE INT'L
00851,SHENG YUAN HLDG
00852,STRONG PETRO
00853,MICROPORT
00854,WILLAS-ARRAY
00855,CHINA WATER
00856,VSTECS
00857,PETROCHINA
00858,EXTRAWELL PHAR
00859,ZHONGCHANG INTL
00860,APOLLO FMG
00861,DC HOLDINGS
00862,VISION VALUES
00863,OSL GROUP
00864,WING LEE PPT
00865,JIANDE INT'L
00866,CHINA QINFA
00867,CMS
00868,XINYI GLASS
00869,PLAYMATES TOYS
00871,CH DREDG ENV
00873,SHIMAO SERVICES
00874,BAIYUNSHAN PH
00875,CONGYU INTE AGR
00876,KAISA HEALTH
00878,SOUNDWILL HOLD
00880,SJM HOLDINGS
00881,ZHONGSHENG HLDG
00882,TIANJIN DEV
00883,CNOOC
00884,CIFI HOLD GP
00887,EMPEROR WATCH&J
00888,BISON FINANCE
00889,DATRONIX HOLD
00893,CHINAVTM MINING
00894,MAN YUE TECH
00895,DONGJIANG ENV
00896,HANISON
00897,WAI YUEN TONG
00898,MULTIFIELD INTL
00899,ZHONG JIA GX
00900,AEON CREDIT
00902,HUANENG POWER
00905,WALNUT CAP
00907,ELEGANCEOPTICAL
00909,MING YUAN CLOUD
00910,CHINA SANDI
00911,QIANHAI HEALTH
00912,SUGA INT'L
00913,HARBOUR DIGITAL
00914,CONCH CEMENT
00915,DAOHE GLOBAL
00916,CHINA LONGYUAN
00917,QUNABOX GROUP
00918,MAJESTIC DRAGON
00919,MODERNHEALTHTEC
00921,HISENSE HA
00922,ANXIANYUAN CH
00923,IWS
00924,KHOON GROUP
00926,BESUNYEN
00927,FUJIKON IND
00928,KING INTL INV
00929,IPE GROUP
00931,CHINA HK POWER
00932,SHUNTEN INTL
00933,VIVA GOODS
00934,SINOPEC KANTONS
00936,KAISA CAPITAL
00938,MAN SANG INT'L
00939,CCB
00941,CHINA MOBILE
00943,ZHONGZHENG INTL
00945,MANULIFE-S
00947,MOBI DEV
00948,ALPHA PRO HLDGS
00950,LEE'S PHARM
00951,CHAOWEI POWER
00952,QUAM PLUS FIN
00953,SHAW BROTHERS
00954,CHANGMAO BIO
00956,CHINA SUNTIEN
00959,CENTURY ENT INT
00960,LONGFOR GROUP
00966,CHINA TAIPING
00968,XINYI SOLAR
00969,HUA LIEN INT'L
00970,NEW SPARKLEROLL
00974,SKL
00975,MONGOL MINING
00976,CHIHO ENV
00978,CHI MER LAND
00979,GREEN ENERGY GP
00980,LIANHUA
00981,SMIC
00983,SOCAM DEV
00984,AEON STORES
00986,DUFU LIQUOR GP
00987,CH RENEW EN INV
00989,HUA YIN INTL H
00990,DEEP SOURCE
00991,DATANG POWER
00992,LENOVO GROUP
00993,XINKONG INT CAP
00994,CT VISION SL
00995,ANHUIEXPRESSWAY
00997,CHINLINK INTL
00998,CITIC BANK
00999,XIAOCAIYUAN
01000,BEIJING MEDIA
01001,HK SH ALLIANCE
01002,V.S. INT'L
01003,HUANXI MEDIA
01004,C SMARTERENERGY
01005,MATRIX HOLDINGS
01007,LONGHUI INTL
01008,LITU HOLDINGS
01009,INT'L ENT
01010,SKY BLUE 11
01011,NT PHARMA
01013,WAI CHUN GROUP
01020,CYBERNAUT INT'L
01022,FEIYU
01023,SITOY GROUP
01024,KUAISHOU-W
01025,KNT HOLDINGS
01026,UNIVERSAL TECH
01027,CHINA JICHENG
01028,C.BANNER
01029,IRC
01030,SEAZEN
01033,SINOPEC SSC
01034,FULLWEALTH
01036,VANKE OVERSEAS
01037,MAXNERVA TECH
01038,CKI HOLDINGS
01039,CHANGYOU INT GP
01044,HENGAN INT'L
01045,APT SATELLITE
01046,UNIVERSE ENT
01047,NGAI HING HONG
01049,CELESTIAL ASIA
01050,KARRIE INT'L
01051,G-RESOURCES
01052,YUEXIUTRANSPORT
01053,CHONGQING IRON
01055,CHINA SOUTH AIR
01057,ZHEJIANG SHIBAO
01058,NAMYUE HOLDINGS
01059,KANTONE HOLDING
01060,DAMAI ENT
01061,ESSEX BIO-TECH
01062,CDB INT'L INV
01063,SUNCORP TECH
01064,ZHONG HUA INT'L
01065,TIANJIN CAPITAL
01066,WEIGAO GROUP
01068,YURUN FOOD
01069,CN HEALTH TECH
01070,TCL ELECTRONICS
01071,HUADIAN POWER
01072,DONGFANG ELEC
01073,DA YU FIN
01075,CAPINFO
01079,PINE TECH
01080,SHENGLI PIPE
01082,BDV EDU INTL
01083,TG SMART ENERGY
01084,GREEN FRESH BIO
01085,HXTL
01086,GOODBABY INTL
01087,INVESTECH HLDGS
01088,CHINA SHENHUA
01090,DA MING INT'L
01091,SOUTH MANGANESE
01093,CSPC PHARMA
01094,CHERISH SUN
01097,I-CABLE COMM
01098,ROAD KING INFRA
01099,SINOPHARM
01100,MAINLAND HOLD
01101,HUARONG ENERGY
01102,ENVIRO ENERGY
01104,APAC RESOURCES
01105,SING TAO
01107,MODERN LAND
01108,TRIUMPH NEW EN
01109,CHINA RES LAND
01110,KINGWORLD
01111,HUASHI GROUP
01112,H&H INTL HLDG
01113,CK ASSET
01114,BRILLIANCE CHI
01115,TIBET WATER
01116,HC TECH GP
01117,CH MODERN D
01118,GOLIK HOLDINGS
01119,IDREAMSKY
01120,ARTS OPTICAL
01121,GOLDENSOLAR
01122,QINGLING MOTORS
01123,CHINA-HK PHOTO
01124,COASTAL GL
01125,LAI FUNG HOLD
01126,DREAM INT'L
01127,LION ROCK GROUP
01128,WYNN MACAU
01129,WATER INDUSTRY
01130,CHINA ENV RES
01132,ORANGE SKY G H
01133,HARBIN ELECTRIC
01134,KELFRED
01137,HK TECH VENTURE
01138,COSCO SHIP ENGY
01140,WEALTHINK AI
01141,CMBC CAPITAL
01142,E&P GLOBAL-2K
01143,CN ENGY STORAGE
01145,COURAGE INV
01146,HUICHENG INTL H
01147,EDENSOFT
01148,POWER XINCHEN
01150,MILAN STATION
01152,MOMENTUM FIN
01153,JIAYUAN SER
01156,CHINANEWENERGY
01157,ZOOMLION
01159,SMART DIGI TECH
01160,GOLDSTONE CAP
01161,WATER OASIS GP
01162,LUMINA GROUP
01163,ADTIGER CORP
01164,CGN MINING
01165,SFCE
01166,SOLARTECH INT'L
01167,JACOBIO-B
01168,Z FIN
01170,KINGMAKER
01171,YANKUANG ENERGY
01172,MAGNUSCONCORDIA
01173,VEEKO INT'L
01176,ZHUGUANG HOLD
01177,SINO BIOPHARM
01179,HWORLD-S
01180,PARADISE ENT
01181,TANG PALACE
01182,SUCCESS DRAGON
01183,MECOM POWER
01184,S.A.S. DRAGON
01185,CHINA ENERGINE
01186,CHINA RAIL CONS
01188,HYBRID KINETIC
01189,GBA DYNAMIC
01193,CHINA RES GAS
01195,KINGWELL GROUP
01196,REALORD GROUP
01198,ROYALE HOME
01199,COSCO SHIP PORT
01200,MIDLAND HOLDING
01201,TESSON HOLDINGS
01202,SIWI SCI & TECH
01203,GUANGNAN (HOLD)
01204,BOARDWARE INTEL
01205,CITIC RESOURCES
01206,TECHNOVATOR
01208,MMG
01209,CHINA RES MIXC
01211,BYD COMPANY
01213,MOBICON GROUP
01215,KAI YUAN HLDGS
01216,ZYBANK
01217,CH INNOVATION
01218,EASYKNIT INT'L
01220,ZHIDAO INT'L
01221,SINO HOTELS
01222,WANG ON GROUP
01223,SYMPHONY HOLD
01224,C C LAND
01225,LERADO FIN
01226,CH INV FIN GP
01228,CANBRIDGE-B
01229,NAN NAN RES
01231,NEWTON RES
01232,GW TIANDI
01233,TIMES CHINA
01234,CHINA LILANG
01235,TRAVEL EXPERT
01237,CH ENV TECH&BIO
01238,POWERLONG
01239,TEAMWAY INTL GP
01240,CNQC INT'L
01241,SHUANGHUA H
01243,WANG ON PPT
01244,3D MEDICINES
01245,NIRAKU
01246,BOILLHEALTHCARE
01247,MIKO INTL
01250,SDHS NEW ENERGY
01251,SPT ENERGY
01252,CHINA TIANRUI
01253,GREENLAND BROAD
01255,TATA HEALTH
01257,CEB GREENTECH
01258,CHINFMINING
01259,PROSPER FUTURE
01260,WONDERFUL SKY
01262,LABIXIAOXIN
01263,PC PARTNER
01265,TIANJINJINRAN
01268,MEIDONG AUTO
01269,FIRST CAP GP
01270,LANGHAM-SS
01271,GRAND MING
01272,DATANG ENVIRO
01273,HK FINANCE GP
01274,IMOTIONTECH
01276,HENGRUI PHARMA
01277,KINETIC DEV
01278,CHINANEWTOWN
01280,QIDIAN GUOFENG
01281,XINDA INV HLDGS
01282,RENZE HARVEST
01283,ACCEL GROUP
01284,NEW MEDIA LAB
01285,JIASHILI GP
01286,IMPRO PRECISION
01288,ABC
01289,SUNLIT SCI
01290,CHINA HUIRONG
01292,CMA LOGISTICS
01293,GRAND BAOXIN
01298,YUNNAN ENERGY
01299,AIA
01300,TRIGIANT
01301,D&G TECH
01302,LIFETECH SCI
01303,HUILI RES
01304,FORTIOR
01305,WAI CHI HOLD
01308,SITC
01310,HKBN
01312,KONTA CHINA
01313,CR BLDG MAT TEC
01314,TSUI WAH HLDG
01315,GREEN ECONOMY
01316,NEXTEER
01317,MAPLELEAF EDU
01318,MAO GEPING
01319,OIWAHPAWN
01321,CHINA NEWCITY
01323,HUASHENG INTL
01326,TRANSMIT ENT
01327,LUXXU GROUP
01328,GOLDSTREAM INV
01330,DYNAGREEN ENV
01332,TOUYUN BIOTECH
01333,BRETON
01334,RUICHANG INTL
01335,SHEEN TAI
01336,NCI
01338,BAWANG GROUP
01339,PICC GROUP
01340,HUISHENG INTL
01341,HAO TIAN INTL
01343,WEI YUAN HLDG
01345,SH PIONEER HLDG
01346,LEVER STYLE
01347,HUA HONG SEMI
01348,QUALI-SMART
01349,FUDANZHANGJIANG
01351,BRIGHT FUTURE
01354,KINGFARPROPERTY
01355,LEGEND STRAT
01357,MEITU
01358,PW MEDTECH
01359,CHINA CINDA
01361,361 DEGREES
01362,SIS MOBILE
01364,GUMING
01368,XTEP INT'L
01370,AOWEI HOLDING
01371,CHINA ECOTOUR
01372,C CARBONNEUTRAL
01373,IH RETAIL
01375,CC SECURITIES
01376,RAFFLESINTERIOR
01378,CHINAHONGQIAO
01379,WENLING MCT
01380,CHI KINGSTONE
01382,PACIFICTEXTILES
01385,SHANGHAI FUDAN
01388,EMBRY HOLDINGS
01389,MAJOR HLDGS
